Master ,DIS_Atlas,DIS_Atlas2,Mouse_MTAB6081,Rat_MTAB6081,Ratlas,Minipig_Atlas,HPA,GTEx Megumi,GTEx Carlos,BarkBase,NHPRTR,BioGPS_Mouse,BioGPS_Mouse2,BioGPS_Human,Tissue_type,DISPLAY_LEVEL,DISPLAY_ORDER,original order,level1
small intestine wall,small intestine wall,,,,,,,,,,,,,,digestive system,1,0,832,small intestine wall
soft palate,soft palate,,,,,,,,,,,,,,digestive system,1,0,833,soft palate
costal cartilage,costal cartilage,Cartilage.costal,,,,,,,,,,,,,musculoskeletal system,1,69,1266,costal cartilage
stomach blind ventricular sac,stomach blind ventricular sac,,,,,,,,,,,,,,digestive system,1,0,835,stomach blind ventricular sac
stomach body,stomach body,,,,,,,,,,,,,,digestive system,1,0,836,stomach body
stomach cardiac region,stomach cardiac region,,,,,,,,,,,,,,digestive system,1,0,837,stomach cardiac region
stomach epithelium,stomach epithelium,,,,,,,,,,,,,,digestive system,1,0,838,stomach epithelium
costal cartilage,costal cartilage,Cartilage.intercostal,,,,,,,,,,,,,musculoskeletal system,1,69,1266,costal cartilage
stomach glandular region,stomach glandular region,,,,,,,,,,,,,,digestive system,1,0,840,stomach glandular region
stomach glandular region mucous membrane,stomach glandular region mucous membrane,,,,,,,,,,,,,,digestive system,1,0,841,stomach glandular region mucous membrane
stomach greater curvature,stomach greater curvature,,,,,,,,,,,,,,digestive system,1,0,842,stomach greater curvature
stomach lesser curvature,stomach lesser curvature,,,,,,,,,,,,,,digestive system,1,0,843,stomach lesser curvature
stomach mesentery,stomach mesentery,,,,,,,,,,,,,,digestive system,1,0,844,stomach mesentery
stomach mucosa,stomach mucosa,,,,,,,,,,,,,,digestive system,1,0,845,stomach mucosa
stomach muscularis mucosa,stomach muscularis mucosa,,,,,,,,,,,,,,digestive system,1,0,846,stomach muscularis mucosa
stomach non-glandular,stomach non-glandular,,,,,,,,,,,,,,digestive system,1,0,847,stomach non-glandular
stomach proventricular region,stomach proventricular region,,,,,,,,,,,,,,digestive system,1,0,848,stomach proventricular region
cecum,cecum,Cecum,,,,,,,,,,,,,digestive system,2,165,634,intestine
stomach pyloric region,stomach pyloric region,,,,,,,,,,,,,,digestive system,1,0,850,stomach pyloric region
stomach region,stomach region,,,,,,,,,,,,,,digestive system,1,0,851,stomach region
stomach serosa,stomach serosa,,,,,,,,,,,,,,digestive system,1,0,852,stomach serosa
stomach smooth muscle,stomach smooth muscle,,,,,,,,,,,,,,digestive system,1,0,853,stomach smooth muscle
stomach smooth muscle circular layer,stomach smooth muscle circular layer,,,,,,,,,,,,,,digestive system,1,0,854,stomach smooth muscle circular layer
stomach squamous epithelium,stomach squamous epithelium,,,,,,,,,,,,,,digestive system,1,0,855,stomach squamous epithelium
stomach submucosa,stomach submucosa,,,,,,,,,,,,,,digestive system,1,0,856,stomach submucosa
stomach wall,stomach wall,,,,,,,,,,,,,,digestive system,1,0,857,stomach wall
sublingual duct,sublingual duct,,,,,,,,,,,,,,digestive system,1,0,858,sublingual duct
sublingual gland,sublingual gland,,,,,,,,,,,,,,digestive system,1,0,859,sublingual gland
submandibular duct,submandibular duct,,,,,,,,,,,,,,digestive system,1,0,860,submandibular duct
submandibular gland,submandibular gland,,,,,,,,,,,,,,digestive system,2,153,861,submandibular gland
symphysis menti,symphysis menti,,,,,,,,,,,,,,digestive system,1,0,862,symphysis menti
taste bud,taste bud,,,,,,,,,,,,,,digestive system,1,0,863,taste bud
tongue epithelium,tongue epithelium,,,,,,,,,,,,,,digestive system,1,0,865,tongue epithelium
tongue papilla,tongue papilla,,,,,,,,,,,,,,digestive system,1,0,866,tongue papilla
tongue skeletal muscle,tongue skeletal muscle,,,,,,,,,,,,,,digestive system,1,0,867,tongue skeletal muscle
colon,colon,Colon,Colon,Colon,,Colon,colon,Colon_Sigmoid,Colon - Sigmoid,colon,Colon,,,colon,digestive system,2,167,638,colon
tonsil capsule,tonsil capsule,,,,,,,,,,,,,,digestive system,1,0,869,tonsil capsule
tonsil crypt,tonsil crypt,,,,,,,,,,,,,,digestive system,1,0,870,tonsil crypt
tooth,tooth,,,,,,,,,,,,,,digestive system,1,0,871,tooth
tooth enamel organ,tooth enamel organ,,,,,,,,,,,,,,digestive system,1,0,872,tooth enamel organ
tooth substance,tooth substance,,,,,,,,,,,,,,digestive system,1,0,873,tooth substance
diaphragm,diaphragm,Diaphragm,,,,,,,,,,,,,musculoskeletal system,2,61,1281,skeletal muscle
upper jaw incisor,upper jaw incisor,,,,,,,,,,,,,,digestive system,1,0,875,upper jaw incisor
upper jaw molar,upper jaw molar,,,,,,,,,,,,,,digestive system,1,0,876,upper jaw molar
ventral mesogastrium,ventral mesogastrium,,,,,,,,,,,,,,digestive system,1,0,877,ventral mesogastrium
ventral pancreatic duct,ventral pancreatic duct,,,,,,,,,,,,,,digestive system,1,0,878,ventral pancreatic duct
adenohypophysis,adenohypophysis,,,,,,,,,,,,,,endocrine system,2,193,879,pituitary gland
duodenum,duodenum,Duodenum,Duodenum,Duodenum,,,duodenum,,,,,,,,digestive system,2,162,652,duodenum
adrenal gland X zone,adrenal gland X zone,,,,,,,,,,,,,,endocrine system,1,0,881,adrenal gland X zone
adrenal gland brown degeneration zone,adrenal gland brown degeneration zone,,,,,,,,,,,,,,endocrine system,1,0,882,adrenal gland brown degeneration zone
adrenal gland capsule,adrenal gland capsule,,,,,,,,,,,,,,endocrine system,1,0,883,adrenal gland capsule
ear,ear,Ear,,,,,,,,,,,,,sensory organ system,1,131,2787,ear
adrenal gland cortex zone,adrenal gland cortex zone,,,,,,,,,,,,,,endocrine system,1,0,885,adrenal gland cortex zone
adrenal gland medulla,adrenal gland medulla,,,,,,,,,,,,,,endocrine system,1,0,886,adrenal gland medulla
adrenal gland zona fasciculata,adrenal gland zona fasciculata,,,,,,,,,,,,,,endocrine system,1,0,887,adrenal gland zona fasciculata
adrenal gland zona glomerulosa,adrenal gland zona glomerulosa,,,,,,,,,,,,,,endocrine system,1,0,888,adrenal gland zona glomerulosa
adrenal gland zona reticularis,adrenal gland zona reticularis,,,,,,,,,,,,,,endocrine system,1,0,889,adrenal gland zona reticularis
endocrine gland,endocrine gland,,,,,,,,,,,,,,endocrine system,1,0,890,endocrine gland
endocrine pancreas,endocrine pancreas,,,,,,,,,,,,,,endocrine system,1,0,891,endocrine pancreas
foramen caecum,foramen caecum,,,,,,,,,,,,,,endocrine system,1,0,892,foramen caecum
infundibulum,infundibulum,,,,,,,,,,,,,,endocrine system,1,0,893,infundibulum
left adrenal gland,left adrenal gland,,,,,,,,,,,,,,endocrine system,1,0,894,left adrenal gland
median eminence,median eminence,,,,,,,,,,,,,,endocrine system,1,0,895,median eminence
neuroendocrine gland,neuroendocrine gland,,,,,,,,,,,,,,endocrine system,1,0,896,neuroendocrine gland
neurohypophysis,neurohypophysis,,,,,,,,,,,,,,endocrine system,2,194,897,pituitary gland
organ of zuckerkandl,organ of zuckerkandl,,,,,,,,,,,,,,endocrine system,1,0,898,organ of zuckerkandl
pancreatic islet,pancreatic islet,,,,,,,,,,,,,,endocrine system,1,0,899,pancreatic islet
pancreatic islet alpha cell,pancreatic islet alpha cell,,,,,,,,,,,,,,endocrine system,1,0,900,pancreatic islet alpha cell
pancreatic islet beta cell,pancreatic islet beta cell,,,,,,,,,,,,,,endocrine system,1,0,901,pancreatic islet beta cell
pancreatic islet core,pancreatic islet core,,,,,,,,,,,,,,endocrine system,1,0,902,pancreatic islet core
pancreatic islet delta cell,pancreatic islet delta cell,,,,,,,,,,,,,,endocrine system,1,0,903,pancreatic islet delta cell
pancreatic islet mantle,pancreatic islet mantle,,,,,,,,,,,,,,endocrine system,1,0,904,pancreatic islet mantle
epididymis,epididymis,Epididymis,,,,,epididymis,,,,,,,,reproductive system,1,176,2414,epididymis
parathyroid gland capsule,parathyroid gland capsule,,,,,,,,,,,,,,endocrine system,1,0,906,parathyroid gland capsule
parathyroid gland parenchyma,parathyroid gland parenchyma,,,,,,,,,,,,,,endocrine system,1,0,907,parathyroid gland parenchyma
pars anterior,pars anterior,,,,,,,,,,,,,,endocrine system,2,0,908,pars anterior
pars intermedia,pars intermedia,,,,,,,,,,,,,,endocrine system,1,0,909,pars intermedia
pars posterior,pars posterior,,,,,,,,,,,,,,endocrine system,2,0,910,pars posterior
pars tuberalis,pars tuberalis,,,,,,,,,,,,,,endocrine system,1,0,911,pars tuberalis
esophagus,esophagus,Esophagus,Esophagus,Esophagus,,,esophagus,,,,,,,,digestive system,1,154,656,esophagus
esophagus inferior,esophagus,Esophagus.inferior,,,,,,,,,,,,,digestive system,1,154,656,esophagus
alveolar sac,alveolar sac,,,,,,,,,,,,,,respiratory system,1,0,2507,alveolar sac
remnant of Rathke's pouch,remnant of Rathke's pouch,,,,,,,,,,,,,,endocrine system,1,0,914,remnant of Rathke's pouch
right adrenal gland,right adrenal gland,,,,,,,,,,,,,,endocrine system,1,0,915,right adrenal gland
thyroglossal duct,thyroglossal duct,,,,,,,,,,,,,,endocrine system,1,0,916,thyroglossal duct
esophagus superior,esophagus,Esophagus.superior,,,,,,,,,,,,,digestive system,1,154,656,esophagus
thyroid gland capsule,thyroid gland capsule,,,,,,,,,,,,,,endocrine system,1,0,918,thyroid gland capsule
thyroid gland follicle,thyroid gland follicle,,,,,,,,,,,,,,endocrine system,1,0,919,thyroid gland follicle
thyroid gland isthmus,thyroid gland isthmus,,,,,,,,,,,,,,endocrine system,1,0,920,thyroid gland isthmus
thyroid gland left lobe,thyroid gland left lobe,,,,,,,,,,,,,,endocrine system,1,0,921,thyroid gland left lobe
thyroid gland lobe,thyroid gland lobe,,,,,,,,,,,,,,endocrine system,1,0,922,thyroid gland lobe
thyroid gland medulla,thyroid gland medulla,,,,,,,,,,,,,,endocrine system,1,0,923,thyroid gland medulla
thyroid gland parenchyma,thyroid gland parenchyma,,,,,,,,,,,,,,endocrine system,1,0,924,thyroid gland parenchyma
thyroid gland right lobe,thyroid gland right lobe,,,,,,,,,,,,,,endocrine system,1,0,925,thyroid gland right lobe
eye,eye,Eye,,,,,,,,,,,,,sensory organ system,1,132,2801,eye
cornea,cornea,Eye.cornea,,,Cornea,,,,,,,,cornea,,sensory organ system,2,136,2777,eye
B lymphoblast,B lymphoblast,,,,,,,,,,,,,,hematopoietic system,1,0,928,B lymphoblast
retina,retina,Eye.retina,,,,,,,,,,retina,retina,retina,sensory organ system,2,134,2922,eye
T cells,T cells,,,,,,,,,,,,,,hematopoietic system,2,215,930,blood
T lymphoblast,T lymphoblast,,,,,,,,,,,,,,hematopoietic system,1,0,931,T lymphoblast
eyelid,eyelid,Eyelid,,,,,,,,,,,,,sensory organ system,2,138,2812,eye
blood,blood,,,,,,,,,,,,,,hematopoietic system,1,208,933,blood
adipose tissue,,Fat.adipose.tissue,,,,,adipose.tissue,,,adipose,,adiposetissue,,,integumental system,1,#N/A,1102,adipose tissue
alveolar smooth muscle,alveolar smooth muscle,,,,,,,,,,,,,,respiratory system,1,0,2508,alveolar smooth muscle
bone marrow endothelial cell,bone marrow endothelial cell,,,,,,,,,,,,,,hematopoietic system,1,0,936,bone marrow endothelial cell
bone marrow erythroid cell,bone marrow erythroid cell,,,,,,,,,,,,,,hematopoietic system,1,0,937,bone marrow erythroid cell
bone marrow myeloid cell,bone marrow myeloid cell,,,,,,,,,,,,,,hematopoietic system,1,0,938,bone marrow myeloid cell
bone marrow stem cell,bone marrow stem cell,,,,,,,,,,,,,,hematopoietic system,1,0,939,bone marrow stem cell
bursa of fabricius,bursa of fabricius,,,,,,,,,,,,,,hematopoietic system,1,0,940,bursa of fabricius
cytotoxic T cells,cytotoxic T cells,,,,,,,,,,,,,,hematopoietic system,2,217,941,blood
adipose tissue white mesenteric,mesenteric adipose tissue,Fat.adipose.tissue.mesenteric,,,,"Fat,_adipose_tissue,_mesenteric",,,Adipose - Visceral (Omentum),,,,,,integumental system,2,76,580,adipose tissue
dendritic cells,dendritic cells,,,,,,,,,,,,,,immune system,1,0,943,dendritic cell
eosinophil,eosinophil,,,,,,,,,,,,,,hematopoietic system,1,0,944,eosinophil
hassall's corpuscle,hassall's corpuscle,,,,,,,,,,,,,,hematopoietic system,1,0,945,hassall's corpuscle
helper T cells,helper T cells,,,,,,,,,,,,,,hematopoietic system,2,216,946,blood
lymphoblast,lymphoblast,,,,,,,,,,,,,,hematopoietic system,1,0,947,lymphoblast
lymphocyte,lymphocyte,,,,,,,,,,,,,,hematopoietic system,1,0,948,lymphocyte
macrophage,macrophage,,,,,,,,,,,,,,hematopoietic system,1,0,949,macrophage
adipose tissue brown,brown fat,Fat.brown,,,Fat_brown_interscapular,,,,,,,brownfat,adipose_brown,,integumental system,1,74,537,adipose tissue
adipose tissue white,white fat,Fat.white,,,Fat_white_inguinal,,,,,,,,adipose_white,,integumental system,1,75,606,adipose tissue
gall bladder,gall bladder,Gall.bladder,,,,Gall_bladder,gallbladder,,,,,,,,digestive system,1,173,681,gall bladder
harderian gland,harderian gland,Harderian.gland,,,,,,,,,,,,,sensory organ system,1,139,2826,harderian gland
heart,heart,Heart,Heart,Heart,Heart_whole,,,,,,Heart,heart,heart,Heart,cardiovascular system,1,14,163,heart
plasma,plasma,,,,,,,,,,,,,,hematopoietic system,1,0,955,plasma
platelets,platelets,,,,,,,,,,,,,,hematopoietic system,2,218,956,blood
red blood cells,red blood cells,,,,,,,,,,,,,,hematopoietic system,1,0,957,red blood cells
serum,serum,,,,,,,,,,,,,,hematopoietic system,1,0,958,serum
spleen capsule,spleen capsule,,,,,,,,,,,,,,hematopoietic system,1,0,960,spleen capsule
spleen central arteriole,spleen central arteriole,,,,,,,,,,,,,,hematopoietic system,1,0,961,spleen central arteriole
spleen germinal center,spleen germinal center,,,,,,,,,,,,,,hematopoietic system,1,0,962,spleen germinal center
spleen hilum,spleen hilum,,,,,,,,,,,,,,hematopoietic system,1,0,963,spleen hilum
spleen lymphoid follicle,spleen lymphoid follicle,,,,,,,,,,,,,,hematopoietic system,1,0,964,spleen lymphoid follicle
spleen marginal sinus,spleen marginal sinus,,,,,,,,,,,,,,hematopoietic system,1,0,965,spleen marginal sinus
spleen marginal zone,spleen marginal zone,,,,,,,,,,,,,,hematopoietic system,1,0,966,spleen marginal zone
spleen periarteriolar lymphatic sheath,spleen periarteriolar lymphatic sheath,,,,,,,,,,,,,,hematopoietic system,1,0,967,spleen periarteriolar lymphatic sheath
spleen pulp,spleen pulp,,,,,,,,,,,,,,hematopoietic system,1,0,968,spleen pulp
spleen red pulp,spleen red pulp,,,,,,,,,,,,,,hematopoietic system,1,0,969,spleen red pulp
spleen smooth muscle,spleen smooth muscle,,,,,,,,,,,,,,hematopoietic system,1,0,970,spleen smooth muscle
spleen trabecular artery,spleen trabecular artery,,,,,,,,,,,,,,hematopoietic system,1,0,971,spleen trabecular artery
spleen trabecular vein,spleen trabecular vein,,,,,,,,,,,,,,hematopoietic system,1,0,972,spleen trabecular vein
spleen trabeculum,spleen trabeculum,,,,,,,,,,,,,,hematopoietic system,1,0,973,spleen trabeculum
spleen venous sinus,spleen venous sinus,,,,,,,,,,,,,,hematopoietic system,1,0,974,spleen venous sinus
spleen white pulp,spleen white pulp,,,,,,,,,,,,,,hematopoietic system,1,0,975,spleen white pulp
splenic cord,splenic cord,,,,,,,,,,,,,,hematopoietic system,1,0,976,splenic cord
thymus capsule,thymus capsule,,,,,,,,,,,,,,hematopoietic system,1,0,978,thymus capsule
thymus cortex,thymus cortex,,,,,,,,,,,,,,hematopoietic system,1,0,979,thymus cortex
thymus epithelium,thymus epithelium,,,,,,,,,,,,,,hematopoietic system,1,0,980,thymus epithelium
thymus lobule,thymus lobule,,,,,,,,,,,,,,hematopoietic system,1,0,981,thymus lobule
thymus lymphoid tissue,thymus lymphoid tissue,,,,,,,,,,,,,,hematopoietic system,1,0,982,thymus lymphoid tissue
thymus medulla,thymus medulla,,,,,,,,,,,,,,hematopoietic system,1,0,983,thymus medulla
thymus subcapsular epithelium,thymus subcapsular epithelium,,,,,,,,,,,,,,hematopoietic system,1,0,984,thymus subcapsular epithelium
thymus trabecula,thymus trabecula,,,,,,,,,,,,,,hematopoietic system,1,0,985,thymus trabecula
white blood cells,white blood cells,,,,,,,,,,,,,,hematopoietic system,2,210,986,blood
afferent lymphatic vessel,afferent lymphatic vessel,,,,,,,,,,,,,,immune system,1,0,987,afferent lymphatic vessel
axillary lymph node,axillary lymph node,,,,,,,,,,,,,,immune system,2,204,988,lymph node
bone marrow endothelial cell,bone marrow endothelial cell,,,,,,,,,,,,,,immune system,1,0,990,bone marrow endothelial cell
bone marrow erythroid cell,bone marrow erythroid cell,,,,,,,,,,,,,,immune system,1,0,991,bone marrow erythroid cell
aortic valve,aortic valve,Heart.aortic.valve,,,,,,,,,,,,,cardiovascular system,2,24,23,heart
bone marrow stem cell,bone marrow stem cell,,,,,,,,,,,,,,immune system,1,0,993,bone marrow stem cell
bronchus associated lymphoid tissue,bronchus associated lymphoid tissue,,,,,,,,,,,,,,immune system,1,0,994,bronchus associated lymphoid tissue
cervical lymph node,cervical lymph node,,,,,,,,,,,,,,immune system,1,0,995,cervical lymph node
efferent lymphatic vessel,efferent lymphatic vessel,,,,,,,,,,,,,,immune system,1,0,996,efferent lymphatic vessel
gut associated lymphoid tissue,gut associated lymphoid tissue,,,,,,,,,,,,,,immune system,1,0,997,gut associated lymphoid tissue
hassall's corpuscle,hassall's corpuscle,,,,,,,,,,,,,,immune system,1,0,998,hassall's corpuscle
ileocecocolic lymph node,ileocecocolic lymph node,,,,,,,,,,,,,,immune system,1,0,999,ileocecocolic lymph node
iliac lymph node,iliac lymph node,,,,,,,,,,,,,,immune system,1,0,1000,iliac lymph node
heart apex,heart apex,Heart.apex,,,Heart_apex,,,,,,,,,,cardiovascular system,2,15,165,heart
large intestine peyer's patch,large intestine peyer's patch,,,,,,,,,,,,,,immune system,1,0,1002,large intestine peyer's patch
lingual tonsillar tissue,lingual tonsillar tissue,,,,,,,,,,,,,,immune system,1,0,1003,lingual tonsillar tissue
lumbar lymph node,lumbar lymph node,,,,,,,,,,,,,,immune system,1,0,1004,lumbar lymph node
alveolar system,alveolar system,,,,,,,,,,,,,,respiratory system,1,0,2509,alveolar system
lymph node auricular,lymph node auricular,,,,,,,,,,,,,,immune system,1,0,1006,lymph node auricular
atrioventricular bundle,atrioventricular bundle,Heart.AV.node.with.His.bundle,,,,,,,,,,,,,cardiovascular system,2,30,40,heart
lymph node capsule,lymph node capsule,,,,,,,,,,,,,,immune system,1,0,1009,lymph node capsule
lymph node cortex,lymph node cortex,,,,,,,,,,,,,,immune system,1,0,1010,lymph node cortex
lymph node endothelium,lymph node endothelium,,,,,,,,,,,,,,immune system,1,0,1011,lymph node endothelium
lymph node follicle,lymph node follicle,,,,,,,,,,,,,,immune system,1,0,1012,lymph node follicle
lymph node gastric,lymph node gastric,,,,,,,,,,,,,,immune system,1,0,1013,lymph node gastric
lymph node hepatic,lymph node hepatic,,,,,,,,,,,,,,immune system,1,0,1014,lymph node hepatic
atrium endocardium,atrium endocardium,Heart.endocardium.left.ventricular,,,,,,,,,,,,,cardiovascular system,1,0,42,atrium endocardium
lymph node mediastinal,lymph node mediastinal,,,,,,,,,,,,,,immune system,1,0,1016,lymph node mediastinal
lymph node medulla,lymph node medulla,,,,,,,,,,,,,,immune system,1,0,1017,lymph node medulla
atrioventricular bundle,atrioventricular bundle,Heart.His.bundle,,,,,,,,,,,,,cardiovascular system,2,30,40,heart
mitral valve,mitral valve,Heart.mitral.valve,,,,,,,,,,,,,cardiovascular system,2,25,309,heart
lymph node pancreatic,lymph node pancreatic,,,,,,,,,,,,,,immune system,1,0,1019,lymph node pancreatic
lymph node paraaortic,lymph node paraaortic,,,,,,,,,,,,,,immune system,1,0,1020,lymph node paraaortic
lymph node prescapular,lymph node prescapular,,,,,,,,,,,,,,immune system,1,0,1021,lymph node prescapular
lymph node primary follicle,lymph node primary follicle,,,,,,,,,,,,,,immune system,1,0,1022,lymph node primary follicle
lymph node renal,lymph node renal,,,,,,,,,,,,,,immune system,1,0,1023,lymph node renal
lymph node retropharyngeal,lymph node retropharyngeal,,,,,,,,,,,,,,immune system,1,0,1024,lymph node retropharyngeal
lymph node secondary follicle,lymph node secondary follicle,,,,,,,,,,,,,,immune system,1,0,1025,lymph node secondary follicle
lymph node splenic,lymph node splenic,,,,,,,,,,,,,,immune system,1,0,1026,lymph node splenic
lymph node trabeculum,lymph node trabeculum,,,,,,,,,,,,,,immune system,1,0,1027,lymph node trabeculum
lymph node tracheobronchial,lymph node tracheobronchial,,,,,,,,,,,,,,immune system,1,0,1028,lymph node tracheobronchial
lymph organ,lymph organ,,,,,,,,,,,,,,immune system,1,0,1029,lymph organ
lymphatic vessel,lymphatic vessel,,,,,,,,,,,,,,immune system,1,0,1030,lymphatic vessel
lymphatic vessel endothelium,lymphatic vessel endothelium,,,,,,,,,,,,,,immune system,1,0,1031,lymphatic vessel endothelium
lymphatic vessel smooth muscle,lymphatic vessel smooth muscle,,,,,,,,,,,,,,immune system,1,0,1032,lymphatic vessel smooth muscle
lymphoid system,lymphoid system,,,,,,,,,,,,,,immune system,1,0,1033,lymphoid system
lymphoid tissue,lymphoid tissue,,,,,,,,,,,,,,immune system,1,0,1034,lymphoid tissue
heart myocardium,heart myocardium,Heart.myocardium,,,,,,,,,,,,,cardiovascular system,2,16,171,heart
atrium myocardium,atrium myocardium,Heart.myocardium.atrial,,,,,,,,,,,,,cardiovascular system,2,17,43,heart
lymph node inguinal,inguinal lymph node,,,,Inguinal_Lymph_Nodes,,,,,,,,,,immune system,1,0,1001,lymph node
heart atrium,heart left atrium,Heart.myocardium.left.atrial,,,,"Heart,_atrium_left",,,,leftatrium,,,,,cardiovascular system,1,0,169,heart
iris,iris,,,,,,,,,,,,iris,,sensory organ system,1,0,2841,eye
heart ventricle,heart left ventricle,Heart.myocardium.left.ventricular,,,,,,,,,,,,,cardiovascular system,2,19,170,heart
mucosa associated lymphoid tissue,mucosa associated lymphoid tissue,,,,,,,,,,,,,,immune system,1,0,1041,mucosa associated lymphoid tissue
nasopharyngeal tonsil,nasopharyngeal tonsil,,,,,,,,,,,,,,immune system,1,0,1042,nasopharyngeal tonsil
oropharyngeal lymphoid tissue,oropharyngeal lymphoid tissue,,,,,,,,,,,,,,immune system,1,0,1043,oropharyngeal lymphoid tissue
palatine tonsil,palatine tonsil,,,,,,,,,,,,,,immune system,1,0,1044,palatine tonsil
parotid lymph node,parotid lymph node,,,,,,,,,,,,,,immune system,1,0,1045,parotid lymph node
heart atrium,heart right atrium,Heart.myocardium.right.atrial,,,,,,,,rightatrium,,,,,cardiovascular system,1,0,174,heart
peyer's patch dome,peyer's patch dome,,,,,,,,,,,,,,immune system,1,0,1047,peyer's patch dome
peyer's patch epithelium,peyer's patch epithelium,,,,,,,,,,,,,,immune system,1,0,1048,peyer's patch epithelium
peyer's patch follicle,peyer's patch follicle,,,,,,,,,,,,,,immune system,1,0,1049,peyer's patch follicle
peyer's patch germinal center,peyer's patch germinal center,,,,,,,,,,,,,,immune system,1,0,1050,peyer's patch germinal center
heart ventricle,heart right ventricle,Heart.myocardium.right.ventricular,,,,,,,,rightventricle,,,,,cardiovascular system,1,0,175,heart
sacral lymph node,sacral lymph node,,,,,,,,,,,,,,immune system,1,0,1052,sacral lymph node
alveolar wall,alveolar wall,,,,,,,,,,,,,,respiratory system,1,0,2510,alveolar wall
spleen capsule,spleen capsule,,,,,,,,,,,,,,immune system,1,0,1055,spleen capsule
spleen central arteriole,spleen central arteriole,,,,,,,,,,,,,,immune system,1,0,1056,spleen central arteriole
spleen germinal center,spleen germinal center,,,,,,,,,,,,,,immune system,1,0,1057,spleen germinal center
spleen hilum,spleen hilum,,,,,,,,,,,,,,immune system,1,0,1058,spleen hilum
spleen lymphoid follicle,spleen lymphoid follicle,,,,,,,,,,,,,,immune system,1,0,1059,spleen lymphoid follicle
spleen marginal sinus,spleen marginal sinus,,,,,,,,,,,,,,immune system,1,0,1060,spleen marginal sinus
spleen marginal zone,spleen marginal zone,,,,,,,,,,,,,,immune system,1,0,1061,spleen marginal zone
spleen periarteriolar lymphatic sheath,spleen periarteriolar lymphatic sheath,,,,,,,,,,,,,,immune system,1,0,1062,spleen periarteriolar lymphatic sheath
spleen pulp,spleen pulp,,,,,,,,,,,,,,immune system,1,0,1063,spleen pulp
spleen red pulp,spleen red pulp,,,,,,,,,,,,,,immune system,1,0,1064,spleen red pulp
spleen smooth muscle,spleen smooth muscle,,,,,,,,,,,,,,immune system,1,0,1065,spleen smooth muscle
spleen trabecular artery,spleen trabecular artery,,,,,,,,,,,,,,immune system,1,0,1066,spleen trabecular artery
spleen trabecular vein,spleen trabecular vein,,,,,,,,,,,,,,immune system,1,0,1067,spleen trabecular vein
spleen trabeculum,spleen trabeculum,,,,,,,,,,,,,,immune system,1,0,1068,spleen trabeculum
spleen venous sinus,spleen venous sinus,,,,,,,,,,,,,,immune system,1,0,1069,spleen venous sinus
spleen white pulp,spleen white pulp,,,,,,,,,,,,,,immune system,1,0,1070,spleen white pulp
splenic cord,splenic cord,,,,,,,,,,,,,,immune system,1,0,1071,splenic cord
alveolus epithelium,alveolus epithelium,,,,,,,,,,,,,,respiratory system,1,0,2511,alveolus epithelium
thymus capsule,thymus capsule,,,,,,,,,,,,,,immune system,1,0,1073,thymus capsule
thymus cortex,thymus cortex,,,,,,,,,,,,,,immune system,1,0,1074,thymus cortex
thymus epithelium,thymus epithelium,,,,,,,,,,,,,,immune system,1,0,1075,thymus epithelium
thymus lobule,thymus lobule,,,,,,,,,,,,,,immune system,1,0,1076,thymus lobule
thymus lymphoid tissue,thymus lymphoid tissue,,,,,,,,,,,,,,immune system,1,0,1077,thymus lymphoid tissue
thymus medulla,thymus medulla,,,,,,,,,,,,,,immune system,1,0,1078,thymus medulla
thymus subcapsular epithelium,thymus subcapsular epithelium,,,,,,,,,,,,,,immune system,1,0,1079,thymus subcapsular epithelium
thymus trabecula,thymus trabecula,,,,,,,,,,,,,,immune system,1,0,1080,thymus trabecula
tonsil,tonsil,,,,,,,,,,,,,,immune system,1,0,1081,tonsil
tonsil capsule,tonsil capsule,,,,,,,,,,,,,,immune system,1,0,1082,tonsil capsule
tonsil crypt,tonsil crypt,,,,,,,,,,,,,,immune system,1,0,1083,tonsil crypt
heart septum,heart septum,Heart.myocardium.septal,,,,,,,,,,,,,cardiovascular system,1,0,176,heart septum
abdomen/pelvis/perineum skin,abdomen/pelvis/perineum skin,,,,,,,,,,,,,,integumental system,1,0,1085,abdomen/pelvis/perineum skin
abdominal mammary gland,abdominal mammary gland,,,,,,,,,,,,,,integumental system,1,0,1086,abdominal mammary gland
ankle skin,ankle skin,,,,,,,,,,,,,,integumental system,1,0,1087,ankle skin
areola,areola,,,,,,,,,,,,,,integumental system,1,0,1088,areola
arm skin,arm skin,,,,,,,,,,,,,,integumental system,2,84,1089,skin
armpit skin,armpit skin,,,,,,,,,,,,,,integumental system,2,83,1090,skin
arrector pili smooth muscle,arrector pili smooth muscle,,,,,,,,,,,,,,integumental system,1,0,1091,arrector pili smooth muscle
auchene hair,auchene hair,,,,,,,,,,,,,,integumental system,1,0,1092,auchene hair
awl hair,awl hair,,,,,,,,,,,,,,integumental system,1,0,1093,awl hair
back skin,back skin,,,,,,,,,,,,,,integumental system,2,81,1094,skin
cervical mammary gland,cervical mammary gland,,,,,,,,,,,,,,integumental system,1,0,1095,cervical mammary gland
heart papillary muscle,heart papillary muscle,Heart.papillary.muscles,,,,,,,,,,,,,cardiovascular system,2,32,173,heart
coat hair,coat hair,,,,,,,,,,,,,,integumental system,1,0,1097,coat hair
hair bulb,,Hair.bulb,,,,,,,,,,,,,integumental system,,,,hair bulb
