Master ,DIS_Atlas,DIS_Atlas2,Mouse_MTAB6081,Rat_MTAB6081,Ratlas,Minipig_Atlas,HPA,GTEx Megumi,GTEx Carlos,BarkBase,NHPRTR,BioGPS_Mouse,BioGPS_Mouse2,BioGPS_Human,Tissue_type,DISPLAY_LEVEL,DISPLAY_ORDER,original order,level1
principal artery to hindlimb,principal artery to hindlimb,,,,,,,,,,,,,,cardiovascular system,1,0,360,principal artery to hindlimb
principal vein of forelimb,principal vein of forelimb,,,,,,,,,,,,,,cardiovascular system,1,0,361,principal vein of forelimb
principal vein of hindlimb,principal vein of hindlimb,,,,,,,,,,,,,,cardiovascular system,1,0,362,principal vein of hindlimb
profunda brachii artery,profunda brachii artery,,,,,,,,,,,,,,cardiovascular system,1,0,363,profunda brachii artery
profunda femoris artery,profunda femoris artery,,,,,,,,,,,,,,cardiovascular system,1,0,364,profunda femoris artery
proper palmal digital arteries,proper palmal digital arteries,,,,,,,,,,,,,,cardiovascular system,1,0,365,proper palmal digital arteries
proper palmal vein,proper palmal vein,,,,,,,,,,,,,,cardiovascular system,1,0,366,proper palmal vein
proper plantar digital arteries,proper plantar digital arteries,,,,,,,,,,,,,,cardiovascular system,1,0,367,proper plantar digital arteries
proper plantar vein,proper plantar vein,,,,,,,,,,,,,,cardiovascular system,1,0,368,proper plantar vein
proximal caudal femoral vein,proximal caudal femoral vein,,,,,,,,,,,,,,cardiovascular system,1,0,369,proximal caudal femoral vein
pudendal artery,pudendal artery,,,,,,,,,,,,,,cardiovascular system,1,0,370,pudendal artery
pudendal vein,pudendal vein,,,,,,,,,,,,,,cardiovascular system,1,0,371,pudendal vein
pudendoepigastric vein,pudendoepigastric vein,,,,,,,,,,,,,,cardiovascular system,1,0,372,pudendoepigastric vein
pudic-epigastric trunk,pudic-epigastric trunk,,,,,,,,,,,,,,cardiovascular system,1,0,373,pudic-epigastric trunk
rib,rib,Bone.rib,,,,,,,,,,,,,musculoskeletal system,2,63,1555,bone
pulmonary trunk,pulmonary trunk,,,,,,,,,,,,,,cardiovascular system,1,0,375,pulmonary trunk
